READ_PHONE_STATE,ClassLoader,Landroid.content.Context.registerReceiver,Ljava.lang.Class.getDeclaredField,Ljavax.crypto.spec.SecretKeySpec,android.intent.action.BOOT_COMPLETED,android.content.pm.PackageInfo,KeySpec,HttpGet.init,SecretKey,Ljava.lang.Class.getMethod,Ljavax.crypto.Cipher,mount,Runtime.getRuntime,Ljava.lang.Object.getClass,Ljava.lang.Class.forName,INTERNET,Binder,IBinder,android.os.IBinder,class
1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1
1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1
1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1
1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1
1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1
1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1
1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1
1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1
1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1
1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1
1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1
1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1
1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1
1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1
1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1
1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1
1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1
1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1
1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1
1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1
1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1
1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1
1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1
1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1
1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1
1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1
1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1
1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1
1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1
1,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1
1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1
1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1
1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1
1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1
1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1
1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1
1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1
1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1
1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1
1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1
1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1
1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1
1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
1,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1
0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1
1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1
1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1
1,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1
1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1
1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1
1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1
1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1
1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1
1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1
1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1
1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1
1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1
1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1
1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1
1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1
1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1
1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1
1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1
1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1
1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1
1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1
1,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1
1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1
1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1
1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1
1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1
1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1
1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1
1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1
1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1
1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1
1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1
1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1
1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1
1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1
1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1
1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1
1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1
1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1
1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1
1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1
1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1
1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1
